id,trace_id,service,station,level,category,message,metadata,created_at
1819,ruth-pws-kord-20260324-162450016,wendy,KORD,info,signal,"PWS anticipation: STRONG (score=0.873), METAR 39.9°F → estimated 42.8°F, bucket 40-41°F → 42-43°F","{""gap"": ""1.21"", ""conf"": ""1.00"", ""ramp"": ""2.09"", ""score"": 0.8725, ""current"": ""40-41°F"", ""predicted"": ""42-43°F"", ""tEstimated"": ""6.00""}",2026-03-24 16:24:50.029558+00
1820,ruth-pws-kord-20260324-162450016,wendy,KORD,info,guard,"PWS guards blocked: price_out_of_range | estimated 42.8°F, bucket 42-43°F, price 0.01",,2026-03-24 16:24:50.040102+00
1821,ruth-pws-klga-20260324-162450255,wendy,KLGA,debug,signal,"PWS anticipation: STRONG (score=0.647), METAR 39.9°F → estimated 36.9°F, bucket 40-41°F → 36-37°F","{""gap"": ""1.10"", ""conf"": ""1.00"", ""ramp"": ""-8.15"", ""score"": 0.6474999999999997, ""current"": ""40-41°F"", ""predicted"": ""36-37°F"", ""tEstimated"": ""2.72""}",2026-03-24 16:24:50.259845+00
1822,ruth-pws-klga-20260324-162450255,wendy,KLGA,info,signal,"PWS already anticipated 44-45°F, skipping duplicate buy",,2026-03-24 16:24:50.270616+00
1823,ruth-pws-kmia-20260324-162450445,wendy,KMIA,info,signal,"PWS anticipation: STRONG (score=0.900), METAR 79.0°F → estimated 81.6°F, bucket 78-79°F → 82-83°F","{""gap"": ""2.73"", ""conf"": ""1.00"", ""ramp"": ""-1.52"", ""score"": 0.9, ""current"": ""78-79°F"", ""predicted"": ""82-83°F"", ""tEstimated"": ""27.56""}",2026-03-24 16:24:50.449645+00
1824,ruth-pws-kmia-20260324-162450445,wendy,KMIA,info,signal,"PWS already anticipated 82-83°F, skipping duplicate buy",,2026-03-24 16:24:50.45004+00
1825,ruth-pws-katl-20260324-162450610,wendy,KATL,info,signal,"PWS anticipation: STRONG (score=0.902), METAR 60.1°F → estimated 62.7°F, bucket 60-61°F → 62-63°F","{""gap"": ""1.34"", ""conf"": ""1.00"", ""ramp"": ""1.76"", ""score"": 0.9024999999999996, ""current"": ""60-61°F"", ""predicted"": ""62-63°F"", ""tEstimated"": ""17.07""}",2026-03-24 16:24:50.614122+00
1826,ruth-pws-katl-20260324-162450610,wendy,KATL,info,signal,"PWS already anticipated 64-65°F, skipping duplicate buy",,2026-03-24 16:24:50.614502+00
1827,ruth-pws-lfpg-20260324-162451071,wendy,LFPG,debug,signal,"PWS anticipation: WEAK (score=-0.275), METAR 18.0°C → estimated 17.2°C, bucket 18°C → 17°C","{""gap"": ""-1.22"", ""conf"": ""0.00"", ""ramp"": ""-2.83"", ""score"": -0.2749999999999998, ""current"": ""18°C"", ""predicted"": ""17°C"", ""tEstimated"": ""17.15""}",2026-03-24 16:24:51.07423+00
1828,ruth-pws-kdal-20260324-162549876,wendy,KDAL,debug,signal,"PWS anticipation: STRONG (score=0.578), METAR 70.0°F → estimated 69.3°F, bucket 70-71°F → 68-69°F","{""gap"": ""0.79"", ""conf"": ""1.00"", ""ramp"": ""-3.09"", ""score"": 0.5775000000000006, ""current"": ""70-71°F"", ""predicted"": ""68-69°F"", ""tEstimated"": ""20.72""}",2026-03-24 16:25:49.887435+00
